claim_id,claim,document_id
00000001,"Former FBI Director James Comey will testify before a U.S. Senate panel on June 8, 2017.",0000
00000002,"President Donald Trump fired James Comey on May 9, 2017.",0000
00000003,Robert Mueller became special counsel to investigate Russia's actions in the 2016 presidential election in May 2017.,0000
00000004,"The Senate Intelligence Committee will hold an open and closed session with James Comey on June 8, 2017.",0000
00000005,"Devin Nunes approved subpoenas for information relating to the ""unmasking"" of Trump campaign advisers from the CIA, FBI, and National Security Agency in June 2017.",0000
00010001,**The Trump administration's withdrawal from the Paris Agreement is a setback for the environment and U.S. leadership in the world.** (This claim is supported by statements from business leaders like Lloyd Blankfein.),0001
00010002,**Rich and poor countries committed to reducing greenhouse gas emissions under the Paris Agreement.**,0001
00010003,**The U.S. decision to withdraw from the Paris Agreement will undermine international responsibility and efforts to respond to climate change.** (This claim is made by South Korea's foreign ministry.),0001
00010004,"**Climate change is real, and industry must now lead in addressing it.** (This claim is made by General Electric CEO Jeff Immelt.)",0001
00010005,**The U.S. withdrawal from the Paris Agreement will potentially cost U.S. jobs.**,0001
00010006,**The U.S. will be left behind in the clean energy transition as other global players demonstrate greater commitment to deploying low carbon solutions.**,0001
