id1,id2,relation
6152569800000001,6152571900000006,1
6152569800000001,6152578600000010,-1
6152569800000001,6152578600000011,-1
6152569800000001,6152578600000012,-1
6152569800000001,6152597500000001,-1
6152569800000001,6152597500000006,-1
6152569800000001,6152600200000005,-1
6152569800000001,6152615100000001,-1
6152569800000001,6152665800000020,-1
6152569800000001,6152665800000021,-1
6152569800000001,6152665800000023,-1
6152569800000001,6152670300000003,-1
6152569800000001,6152670300000007,-1
6152569800000001,6152671800000002,-1
6152569800000001,6152671800000013,-1
6152569800000001,6152673400000001,-1
6152569800000001,6152675200000006,-1
6152569800000001,6152675200000009,-1
6152569800000001,6152675200000013,-1
6152569800000001,6152675200000016,-1
6152569800000001,6152675200000017,-1
6152569800000001,6152677300000004,-1
6152569800000001,6152765300000001,-1
6152569800000001,6152765300000004,-1
6152569800000001,6152765300000005,-1
6152569800000001,6152838800000001,-1
6152569800000001,6152842600000001,-1
6152569800000001,6152842600000005,-1
6152569800000001,6152842600000009,-1
6152569800000001,6152842600000015,-1
6152569800000001,6152916600000003,-1
6152569800000001,6152933200000001,-1
6152569800000001,6152933200000007,-1
6152569800000001,6153018200000002,-1
6152569800000001,6153091900000003,-1
6152569800000001,6153092600000003,-1
6152569800000001,6153122600000003,-1
6152569800000001,6153122600000012,-1
6152569800000001,6153124000000001,-1
6152569800000001,6153124000000002,-1
6152569800000001,6153128600000001,-1
6152569800000001,6153129500000015,-1
6152569800000001,6153131200000006,-1
6152569800000001,6153133200000001,-1
6152569800000001,6153138300000004,-1
6152569800000001,6153141200000001,-1
6152569800000001,6153307200000001,-1
6152569800000001,6153809500000005,-1
6152569800000001,6153863900000002,-1
6152569800000001,6153864700000017,-1
6152569800000001,6153914900000002,-1
6152569800000001,6154184900000001,-1
6152569800000001,6154184900000002,-1
6152569800000001,6154184900000003,-1
6152569800000001,6154184900000004,-1
6152569800000001,6154236200000004,-1
6152569800000001,6154236200000005,-1
6152569800000001,6154236200000009,-1
6152569800000001,6154236400000007,-1
6152569800000002,6152625000000011,-1
6152569800000002,6152625000000012,-1
6152569800000002,6152629700000009,-1
6152569800000002,6152629700000011,-1
6152569800000002,6153293000000017,-1
6152569800000003,6152578600000011,-1
